path,prediction,probability,red_pct,bright_pct,year,type
satellite_images\2018\fire_2018-06-02_cloud4.2.png,Нет пожара,N/A,0.0027503852080123267,0.04637904468412943,2018,fire
satellite_images\2018\fire_2018-06-05_cloud23.2.png,Нет пожара,N/A,7.704160246533127e-06,0.06538906009244992,2018,fire
satellite_images\2018\fire_2018-06-05_cloud3.4.png,Нет пожара,N/A,1.5408320493066255e-05,0.01422573189522342,2018,fire
satellite_images\2018\fire_2018-06-07_cloud21.0.png,Нет пожара,N/A,1.5408320493066255e-05,0.11828582434514638,2018,fire
satellite_images\2018\fire_2018-06-07_cloud29.6.png,Нет пожара,N/A,0.0006702619414483822,0.2883936825885978,2018,fire
satellite_images\2018\fire_2018-06-07_cloud29.9.png,Нет пожара,N/A,4.6224961479198765e-05,0.009530046224961479,2018,fire
satellite_images\2018\fire_2018-06-07_cloud6.5.png,Нет пожара,N/A,0.0009919106317411402,0.030425654853620955,2018,fire
satellite_images\2018\fire_2018-06-10_cloud21.8.png,Нет пожара,N/A,1.926040061633282e-06,0.13204930662557782,2018,fire
satellite_images\2018\fire_2018-06-10_cloud26.4.png,Нет пожара,N/A,0.00030624036979969184,0.11088983050847458,2018,fire
satellite_images\2018\fire_2018-06-10_cloud5.9.png,Нет пожара,N/A,1.926040061633282e-06,0.025238828967642526,2018,fire
satellite_images\2018\fire_2018-06-12_cloud1.4.png,Нет пожара,N/A,0.0018932973805855162,0.2172862095531587,2018,fire
satellite_images\2018\fire_2018-06-12_cloud1.6.png,Нет пожара,N/A,0.0022168721109399074,0.05096302003081664,2018,fire
satellite_images\2018\fire_2018-06-12_cloud28.8.png,Нет пожара,N/A,0.00016563944530046225,0.030219568567026196,2018,fire
satellite_images\2018\fire_2018-06-15_cloud0.0.png,Нет пожара,N/A,0.001475346687211094,0.06668528505392912,2018,fire
satellite_images\2018\fire_2018-06-15_cloud4.0.png,Нет пожара,N/A,9.822804314329737e-05,0.013541987673343605,2018,fire
satellite_images\2018\fire_2018-06-17_cloud0.0.png,Нет пожара,N/A,0.0005469953775038521,0.04654468412942989,2018,fire
satellite_images\2018\fire_2018-06-17_cloud0.6.png,Нет пожара,N/A,0.0002600154083204931,0.22485747303543913,2018,fire
satellite_images\2018\fire_2018-06-17_cloud3.4.png,Нет пожара,N/A,7.126348228043144e-05,0.030860939907550077,2018,fire
satellite_images\2018\fire_2018-06-20_cloud20.8.png,Нет пожара,N/A,0.0,0.04829352850539291,2018,fire
satellite_images\2018\fire_2018-06-22_cloud0.0.png,Нет пожара,N/A,0.0004102465331278891,0.05228813559322034,2018,fire
satellite_images\2018\fire_2018-06-22_cloud10.6.png,Нет пожара,N/A,0.0001059322033898305,0.01067411402157165,2018,fire
satellite_images\2018\fire_2018-06-22_cloud2.7.png,Нет пожара,N/A,0.0009052388289676425,0.2489637904468413,2018,fire
satellite_images\2018\fire_2018-06-25_cloud19.3.png,Нет пожара,N/A,0.0,0.04829352850539291,2018,fire
satellite_images\2018\fire_2018-06-27_cloud13.1.png,Нет пожара,N/A,0.0001174884437596302,0.08994414483821263,2018,fire
satellite_images\2018\fire_2018-06-27_cloud18.5.png,Нет пожара,N/A,1.1556240369799691e-05,0.010313944530046224,2018,fire
satellite_images\2018\fire_2018-06-27_cloud20.9.png,Нет пожара,N/A,5.5855161787365175e-05,0.27980546995377503,2018,fire
satellite_images\2018\fire_2018-06-27_cloud21.1.png,Нет пожара,N/A,2.1186440677966103e-05,0.042657935285053926,2018,fire
satellite_images\2018\fire_2018-07-05_cloud1.1.png,Нет пожара,N/A,1.926040061633282e-06,0.009664869029275809,2018,fire
satellite_images\2018\fire_2018-07-05_cloud16.8.png,Нет пожара,N/A,3.852080123266564e-06,0.06018875192604006,2018,fire
satellite_images\2018\fire_2018-07-05_cloud20.5.png,Нет пожара,N/A,0.0006336671802773498,0.3511016949152542,2018,fire
satellite_images\2018\fire_2018-07-05_cloud7.3.png,Нет пожара,N/A,0.0008570878274268105,0.08408513097072419,2018,fire
satellite_images\2018\fire_2018-07-07_cloud0.0.png,Нет пожара,N/A,2.3112480739599382e-05,0.006810477657935285,2018,fire
satellite_images\2018\fire_2018-07-07_cloud0.5.png,Нет пожара,N/A,0.000812788906009245,0.059106317411402154,2018,fire
satellite_images\2018\fire_2018-07-07_cloud1.1.png,Нет пожара,N/A,1.3482280431432974e-05,0.030150231124807397,2018,fire
satellite_images\2018\fire_2018-07-07_cloud1.8.png,Нет пожара,N/A,0.0006914483821263482,0.2542777349768875,2018,fire
satellite_images\2018\fire_2018-07-10_cloud0.0.png,Нет пожара,N/A,0.001413713405238829,0.0525231124807396,2018,fire
satellite_images\2018\fire_2018-07-12_cloud10.9.png,Нет пожара,N/A,0.0005469953775038521,0.05959167950693375,2018,fire
satellite_images\2018\fire_2018-07-12_cloud17.7.png,Нет пожара,N/A,0.0005546995377503852,0.2752407550077042,2018,fire
satellite_images\2018\fire_2018-07-15_cloud0.6.png,Нет пожара,N/A,0.0010188751926040061,0.028241525423728812,2018,fire
satellite_images\2018\fire_2018-07-15_cloud10.7.png,Нет пожара,N/A,0.0011999229583975347,0.16173921417565484,2018,fire
satellite_images\2018\fire_2018-07-15_cloud3.1.png,Нет пожара,N/A,0.0001290446841294299,0.00637904468412943,2018,fire
satellite_images\2018\fire_2018-07-17_cloud0.3.png,Нет пожара,N/A,0.0,0.12150231124807397,2018,fire
satellite_images\2018\fire_2018-07-17_cloud0.6.png,Нет пожара,N/A,0.00025038520801232665,0.04395030816640986,2018,fire
satellite_images\2018\fire_2018-07-17_cloud1.0.png,Нет пожара,N/A,0.00025038520801232665,0.04395030816640986,2018,fire
satellite_images\2018\fire_2018-07-17_cloud1.1.png,Нет пожара,N/A,0.00026386748844375965,0.1690292758089368,2018,fire
satellite_images\2018\fire_2018-07-17_cloud14.4.png,Нет пожара,N/A,1.1556240369799691e-05,0.007099383667180277,2018,fire
satellite_images\2018\fire_2018-07-17_cloud3.8.png,Нет пожара,N/A,0.0,0.02899653312788906,2018,fire
satellite_images\2018\fire_2018-07-20_cloud16.3.png,Нет пожара,N/A,0.0,0.008545839753466872,2018,fire
satellite_images\2018\fire_2018-07-20_cloud7.8.png,Нет пожара,N/A,0.0,0.008934899845916795,2018,fire
satellite_images\2018\fire_2018-07-25_cloud19.0.png,Нет пожара,N/A,0.0,0.04542180277349769,2018,fire
satellite_images\2018\fire_2018-07-30_cloud0.0.png,Нет пожара,N/A,0.0022958397534668723,0.026076656394453005,2018,fire
satellite_images\2018\fire_2018-07-30_cloud12.5.png,Нет пожара,N/A,0.00023690292758089368,0.013775038520801232,2018,fire
satellite_images\2018\fire_2018-07-30_cloud2.4.png,Нет пожара,N/A,0.00023690292758089368,0.00562211093990755,2018,fire
satellite_images\2018\fire_2018-08-01_cloud0.0.png,Нет пожара,N/A,0.002621340523882897,0.12935862865947612,2018,fire
satellite_images\2018\fire_2018-08-01_cloud10.2.png,Нет пожара,N/A,0.0002600154083204931,0.006309707241910632,2018,fire
satellite_images\2018\fire_2018-08-01_cloud18.5.png,Нет пожара,N/A,0.002153312788906009,0.031261556240369796,2018,fire
satellite_images\2018\fire_2018-08-04_cloud11.3.png,Нет пожара,N/A,0.0003832819722650231,0.13685862865947612,2018,fire
satellite_images\2018\fire_2018-08-04_cloud2.8.png,Нет пожара,N/A,9.63020030816641e-06,0.016348228043143297,2018,fire
satellite_images\2018\fire_2018-08-04_cloud23.4.png,Нет пожара,N/A,1.7334360554699538e-05,0.06582819722650231,2018,fire
satellite_images\2018\fire_2018-08-04_cloud5.2.png,Нет пожара,N/A,0.0,0.014572419106317411,2018,fire
satellite_images\2018\fire_2018-08-06_cloud0.6.png,Нет пожара,N/A,0.0011228813559322035,0.025664483821263483,2018,fire
satellite_images\2018\fire_2018-08-06_cloud12.7.png,Нет пожара,N/A,5.007704160246533e-05,0.005354391371340524,2018,fire
satellite_images\2018\fire_2018-08-06_cloud20.5.png,Нет пожара,N/A,1.7334360554699538e-05,0.045165639445300464,2018,fire
satellite_images\2018\fire_2018-08-09_cloud0.0.png,Нет пожара,N/A,0.0016640986132511557,0.01079160246533128,2018,fire
satellite_images\2018\fire_2018-08-09_cloud0.2.png,Нет пожара,N/A,0.0002542372881355932,0.00824537750385208,2018,fire
